id,img_h,img_w,n_objs,n_lights,rnd_or_enc,seed_or_code,frame_num,total_microsec,update_time,render_time,additional
0,512,512,0,1,0,1626853056,1,18606,269,2400,
0,512,512,0,1,0,1626853056,2,30148,267,18331,
0,512,512,0,1,0,1626853056,3,32030,13103,17027,
0,512,512,0,1,0,1626853056,4,31989,15204,16815,
0,512,512,0,1,0,1626853056,5,32233,14358,17618,
0,512,512,0,1,0,1626853056,6,32590,14816,17405,
0,512,512,0,1,0,1626853056,7,32535,15466,17111,
0,512,512,0,1,0,1626853056,8,29646,15194,17329,
0,512,512,0,1,0,1626853056,9,31947,14261,15373,
0,512,512,0,1,0,1626853056,10,16921,17034,14900,
0,512,512,0,1,0,1626853056,11,16320,1316,15595,
0,512,512,0,1,0,1626853056,12,31897,632,15676,
0,512,512,0,1,0,1626853056,13,17004,17242,14645,
0,512,512,0,1,0,1626853056,14,16294,1569,15426,
0,512,512,0,1,0,1626853056,15,16542,863,15421,
0,512,512,0,1,0,1626853056,16,16317,858,15675,
0,512,512,0,1,0,1626853056,17,31059,613,15691,
0,512,512,0,1,0,1626853056,18,16944,17083,13963,
0,512,512,0,1,0,1626853056,19,16168,2330,14604,
0,512,512,0,1,0,1626853056,20,15901,1636,14522,
0,512,512,0,1,0,1626853056,21,16985,1741,14150,
0,512,512,0,1,0,1626853056,22,16355,2264,14712,
0,512,512,0,1,0,1626853056,23,16150,1774,14571,
0,512,512,0,1,0,1626853056,24,16353,1559,14582,
0,512,512,0,1,0,1626853056,25,15863,1687,14656,
0,512,512,0,1,0,1626853056,26,16593,1650,14203,
0,512,512,0,1,0,1626853056,27,16628,2144,14440,
0,512,512,0,1,0,1626853056,28,15841,1854,14765,
0,512,512,0,1,0,1626853056,29,16535,1800,14031,
0,512,512,0,1,0,1626853056,30,16422,2023,14503,
0,512,512,0,1,0,1626853056,31,15799,1788,14622,
0,512,512,0,1,0,1626853056,32,16487,1726,14061,
0,512,512,0,1,0,1626853056,33,16773,2284,14193,
0,512,512,0,1,0,1626853056,34,16311,2101,14662,
0,512,512,0,1,0,1626853056,35,15619,1860,14441,
0,512,512,0,1,0,1626853056,36,16262,1651,13958,
0,512,512,0,1,0,1626853056,37,16448,2270,13982,
0,512,512,0,1,0,1626853056,38,16933,2417,14021,
0,512,512,0,1,0,1626853056,39,16025,2292,14632,
0,512,512,0,1,0,1626853056,40,16757,1584,14432,
0,512,512,0,1,0,1626853056,41,15893,2171,14576,
0,512,512,0,1,0,1626853056,42,16420,1502,14381,
0,512,512,0,1,0,1626853056,43,16600,1868,14542,
0,512,512,0,1,0,1626853056,44,15944,1824,14767,
0,512,512,0,1,0,1626853056,45,16310,1546,14389,
0,512,512,0,1,0,1626853056,46,16504,1927,14371,
0,512,512,0,1,0,1626853056,47,15616,1842,14652,
0,512,512,0,1,0,1626853056,48,16925,1797,13810,
0,512,512,0,1,0,1626853056,49,15834,2457,14459,
0,512,512,0,1,0,1626853056,50,16952,1860,13966,
1,512,512,2,1,0,1626853057,1,15835,1282,16848,
1,512,512,2,1,0,1626853057,2,16796,691,15136,
1,512,512,2,1,0,1626853057,3,32758,593,16192,
1,512,512,2,1,0,1626853057,4,33027,16855,15893,
1,512,512,2,1,0,1626853057,5,32635,17056,15962,
1,512,512,2,1,0,1626853057,6,16482,17022,15604,
1,512,512,2,1,0,1626853057,7,33084,557,15912,
1,512,512,2,1,0,1626853057,8,32711,17214,15859,
1,512,512,2,1,0,1626853057,9,16633,17091,15610,
1,512,512,2,1,0,1626853057,10,32861,606,16017,
1,512,512,2,1,0,1626853057,11,33167,17059,15792,
1,512,512,2,1,0,1626853057,12,32618,17182,15975,
1,512,512,2,1,0,1626853057,13,16416,17006,15602,
1,512,512,2,1,0,1626853057,14,16626,652,15755,
1,512,512,2,1,0,1626853057,15,33000,558,16058,
1,512,512,2,1,0,1626853057,16,32594,16971,16017,
1,512,512,2,1,0,1626853057,17,16357,16931,15654,
1,512,512,2,1,0,1626853057,18,16626,558,15789,
1,512,512,2,1,0,1626853057,19,33034,569,16047,
1,512,512,2,1,0,1626853057,20,32538,16985,16039,
1,512,512,2,1,0,1626853057,21,16431,16916,15612,
1,512,512,2,1,0,1626853057,22,16581,650,15772,
1,512,512,2,1,0,1626853057,23,33000,547,16025,
1,512,512,2,1,0,1626853057,24,32677,16994,15994,
1,512,512,2,1,0,1626853057,25,16400,16956,15711,
1,512,512,2,1,0,1626853057,26,32948,504,15884,
1,512,512,2,1,0,1626853057,27,16751,17195,15743,
1,512,512,2,1,0,1626853057,28,32631,462,16279,
1,512,512,2,1,0,1626853057,29,32811,16791,15830,
1,512,512,2,1,0,1626853057,30,16396,17178,15623,
1,512,512,2,1,0,1626853057,31,32916,503,15884,
1,512,512,2,1,0,1626853057,32,16343,17188,15719,
1,512,512,2,1,0,1626853057,33,16490,548,15786,
1,512,512,2,1,0,1626853057,34,32901,424,16057,
1,512,512,2,1,0,1626853057,35,32868,17076,15816,
1,512,512,2,1,0,1626853057,36,32874,17205,15652,
1,512,512,2,1,0,1626853057,37,16467,17187,15676,
1,512,512,2,1,0,1626853057,38,33282,610,15848,
1,512,512,2,1,0,1626853057,39,32566,17160,16111,
1,512,512,2,1,0,1626853057,40,16464,16859,15698,
1,512,512,2,1,0,1626853057,41,32937,563,15892,
1,512,512,2,1,0,1626853057,42,32939,17147,15781,
1,512,512,2,1,0,1626853057,43,16314,17255,15673,
1,512,512,2,1,0,1626853057,44,16715,520,15786,
1,512,512,2,1,0,1626853057,45,32680,593,16110,
1,512,512,2,1,0,1626853057,46,33075,16852,15818,
1,512,512,2,1,0,1626853057,47,32711,17085,15979,
1,512,512,2,1,0,1626853057,48,16607,16973,15729,
1,512,512,2,1,0,1626853057,49,33050,487,16111,
1,512,512,2,1,0,1626853057,50,32554,16974,16066,
2,512,512,2,1,0,1626853058,1,18981,271,13908,
2,512,512,2,1,0,1626853058,2,32318,540,18433,
2,512,512,2,1,0,1626853058,3,31220,12002,20303,
2,512,512,2,1,0,1626853058,4,33374,12651,18559,
2,512,512,2,1,0,1626853058,5,32561,14218,19147,
2,512,512,2,1,0,1626853058,6,32510,13827,18724,
2,512,512,2,1,0,1626853058,7,33722,13995,18506,
2,512,512,2,1,0,1626853058,8,32535,14478,19235,
2,512,512,2,1,0,1626853058,9,32394,13781,18744,
2,512,512,2,1,0,1626853058,10,33681,14022,18362,
2,512,512,2,1,0,1626853058,11,32506,14646,19024,
2,512,512,2,1,0,1626853058,12,32650,13918,18579,
2,512,512,2,1,0,1626853058,13,33322,14142,18498,
2,512,512,2,1,0,1626853058,14,32547,14478,18834,
2,512,512,2,1,0,1626853058,15,33046,14188,18349,
2,512,512,2,1,0,1626853058,16,32795,14416,18621,
2,512,512,2,1,0,1626853058,17,32571,14356,18430,
2,512,512,2,1,0,1626853058,18,33271,14369,18190,
2,512,512,2,1,0,1626853058,19,32480,14562,18699,
2,512,512,2,1,0,1626853058,20,33295,14224,18246,
2,512,512,2,1,0,1626853058,21,33057,14730,18556,
2,512,512,2,1,0,1626853058,22,32323,14220,18828,
2,512,512,2,1,0,1626853058,23,33151,14149,18164,
2,512,512,2,1,0,1626853058,24,33421,14871,18271,
2,512,512,2,1,0,1626853058,25,32288,14618,18794,
2,512,512,2,1,0,1626853058,26,33041,14291,17985,
2,512,512,2,1,0,1626853058,27,33125,14772,18260,
2,512,512,2,1,0,1626853058,28,32983,14658,18457,
2,512,512,2,1,0,1626853058,29,33006,14517,18455,
2,512,512,2,1,0,1626853058,30,32900,14541,18456,
2,512,512,2,1,0,1626853058,31,32517,14514,18375,
2,512,512,2,1,0,1626853058,32,33794,14523,17985,
2,512,512,2,1,0,1626853058,33,32058,15060,18722,
2,512,512,2,1,0,1626853058,34,33061,14174,17875,
2,512,512,2,1,0,1626853058,35,33828,15108,17944,
2,512,512,2,1,0,1626853058,36,32013,15095,18723,
2,512,512,2,1,0,1626853058,37,33048,14189,17814,
2,512,512,2,1,0,1626853058,38,33580,15099,17939,
2,512,512,2,1,0,1626853058,39,32275,15100,18454,
2,512,512,2,1,0,1626853058,40,33298,14446,17820,
2,512,512,2,1,0,1626853058,41,33172,15110,18177,
2,512,512,2,1,0,1626853058,42,32418,14898,18264,
2,512,512,2,1,0,1626853058,43,33542,14650,17759,
2,512,512,2,1,0,1626853058,44,32904,15227,18306,
2,512,512,2,1,0,1626853058,45,32539,14721,18175,
2,512,512,2,1,0,1626853058,46,33414,14744,17785,
2,512,512,2,1,0,1626853058,47,32984,14902,18501,
2,512,512,2,1,0,1626853058,48,32107,14349,18621,
2,512,512,2,1,0,1626853058,49,33667,13897,18199,
2,512,512,2,1,0,1626853058,50,32138,14800,18857,
3,512,512,2,1,0,1626853060,1,16336,14424,15815,
3,512,512,2,1,0,1626853060,2,34216,358,15970,
3,512,512,2,1,0,1626853060,3,31357,16067,18139,
3,512,512,2,1,0,1626853060,4,33235,14561,16787,
3,512,512,2,1,0,1626853060,5,33023,16184,17038,
3,512,512,2,1,0,1626853060,6,32092,15926,17085,
3,512,512,2,1,0,1626853060,7,33826,15730,16353,
3,512,512,2,1,0,1626853060,8,32747,16686,17130,
3,512,512,2,1,0,1626853060,9,32373,15785,16952,
